"Story","Title","Result","Date","Stability","Duration (s)"
"[05_Automation] - Product","TC38 - Get all products using invalid endpoints","SUCCESS","2023-11-03T01:28:11.4753478+07:00[Asia/Bangkok]","0.0","0.12"
"[05_Automation] - Product","TC39 - Add new products","SUCCESS","2023-11-03T01:28:11.5982937+07:00[Asia/Bangkok]","0.0","0.1"
"[05_Automation] - Product","TC40 - Add new products without name payload","SUCCESS","2023-11-03T01:28:11.7093482+07:00[Asia/Bangkok]","0.0","0.1"
"[05_Automation] - Product","TC42 - Add new product with blank name payload","SUCCESS","2023-11-03T01:28:11.8143943+07:00[Asia/Bangkok]","0.0","0.1"
"[05_Automation] - Product","TC44 - Add new product with blank price payload","SUCCESS","2023-11-03T01:28:11.9210615+07:00[Asia/Bangkok]","0.0","0.09"
"[05_Automation] - Product","TC45 - Add new product with only space on price payload","SUCCESS","2023-11-03T01:28:12.0231361+07:00[Asia/Bangkok]","0.0","0.11"
"[05_Automation] - Product","TC48 - Add new product with body parameter is empty","SUCCESS","2023-11-03T01:28:12.1417709+07:00[Asia/Bangkok]","0.0","0.11"
"[05_Automation] - Product","TC49 - Add new products with invalid HTTP method","SUCCESS","2023-11-03T01:28:12.2621539+07:00[Asia/Bangkok]","0.0","0.09"
"[05_Automation] - Product","TC50 - Get products by ID","SUCCESS","2023-11-03T01:28:12.3630812+07:00[Asia/Bangkok]","0.0","0.1"
"[05_Automation] - Product","TC51 - Get product using invalid ID with character symbols","SUCCESS","2023-11-03T01:28:12.463646+07:00[Asia/Bangkok]","0.0","0.1"
"[05_Automation] - Product","TC52 - Get categories by invalid ID with character alphabet","SUCCESS","2023-11-03T01:28:12.5680719+07:00[Asia/Bangkok]","0.0","0.1"
"[05_Automation] - Product","TC53 - Delete a products by ID","SUCCESS","2023-11-03T01:28:12.6827031+07:00[Asia/Bangkok]","0.0","0.1"
"[05_Automation] - Product","TC54 - Delete a products using invalid ID with character symbols","SUCCESS","2023-11-03T01:28:12.7866239+07:00[Asia/Bangkok]","0.0","0.11"
"[05_Automation] - Product","TC55 - Delete a products using invalid ID with character alphabet","SUCCESS","2023-11-03T01:28:12.8964112+07:00[Asia/Bangkok]","0.0","0.1"
